,corpus
44,"mr. ken o'hara, chief executive of esb, after more than 40 years service with the company, has announced his decision to retire in july ."
45,"dieting during pregnancy is never recommended , as it can limit the nutrition available to the baby."
46,open society institute has generously offered to sponsor a number of participants from developing countries for attendance at the oa workshop.
47,"if you would like a demonstration of the new product, just ask the bkm staff at the booth."
48,the sales manager has been asked to lead a discussion of the asian market's future outlook during the board meeting tonight at 7 p.m.
49,ndrc is the national authority that is in charge of setting guidance tariffs that are subsequently implemented by the local authorities.
50,"while the ceo was giving a speech to the newly hired employees at the training session, a secretary took a picture of him."
51,the company had begun working on the project for the main office even before it chose the land to build on.
52,"reservations are made on a first-come, first-served basis and are subject to room availability."
53,we expect our sales to rise sharply to around $ million over the next 24 months.
54,ruth akorful is a baker and has been managing her own business for several years.
55,the leighton group is a service-based organization and our success is dependent on the quality of the service we offer.
56,"after months of negotiations , we are pleased to announce that the company and your union have reached an agreement that resolves 9 out of 1opending grievances."
57,"michael, the former ceo of the company, is looking forward to seeing many friends and acquaintances at next year's show in august."
58,the building built by emaar properties was originally scheduled to be completed at the end of this year but the target date has been changed due to revisions in the building's design.
59,"following the visit to your production facility in hong kong next week, we will create a comprehensive factory automation program to meet your company's needs."
60,either the marketing director or the sales manager will represent centum construction inc. at the bexco architecture conference.
61,your new coffee machine comes with detailed instructions which will help you use it more effectively.
62,"since she joined our company three years ago, mrs. mashimo has greatly expanded our customer base."
63,"neobucks has more than 3, stores in the united states and 25 other countries, and its logo is universally recognizable."
64,"if you would like to comment on a recent experience with us, please complete a customer satisfaction survey before leaving your room."
65,"as space is limited, be sure to contact bill in the personnel department a minimum of three days in advance to register for a workshop."
66,"as a manager, you are also responsible for maintaining a work environment that is comfortable and ergonomically safe."
67,"the tree-lined trails and steep slopes make whistler mountain a dangerous place to ride, even for experienced cyclists."
68,many people prefer to shop at the bay department store as it offers a lifetime warranty on all purchases.
69,"in an unprecedented act of generosity, patty dedominic, the founder of dedominic & associates, pledged a $1-million donation that will help local charities."
70,satyam computer services ltd. has extended the deadline for submitting applications for the marketing manager position to april 13th.
71,"if mechanical problems occur at the time of your scheduled trip, alternatives will be discussed with you whether to reschedule the trip for a later time."
72,all work will be discussed in detail before a written estimate is given to any client.
73,we have collaborated with community groups and business partners to support local economic development projects.
74,all sales representatives should know detailed information about the product they are selling and be able to answer any questions.
75,mountain equipment co-op. has deeply discounted their winter items to make room for the new spring merchandise.
76,"while in a foreign country, it would be wise to take only what you will absolutely need during the day and leave anything else in the safe in your hotel room."
77,"at the annual stockholders' meeting, large printed material will be made available on request for those with visual impairment."
78,a recent survey indicates that young women in particular are showing a strong preference for online shopping.
79,the office manager is responsible for supporting staff members and ensuring that their work is done efficiently.
80,"after rachel had worked for the company for more than 10 years, she was finally promoted to a managerial position."
81,mr. jackson expressed a strong desire to increase both the company's revenue and the number of employees.
82,kelvin video system's most recent model produces vivid images on its screen.
83,"for further information, please don't hesitate to call our customer service center at 1-."
84,entries for the annual grr contest should be submitted by no later than december 1st.
85,clients of bank of america can easily gain access to their accounts 24 hours a day throughout the year.
86,the president of the company gave credit for the increased number of sales to the excellent work done by his staff.
87,"although the owner of the company wasn't able to attend the meeting, his secretary was there to take important notes for him."
88,the wall street banks collapsed because of the uncertainty that investors had about the american economy.
89,wiping out the company's data on retiring workers' computers may prevent any leak concerning crucial information aboutthe company.
90,"after a long speech about the importance of working hard, mr. glenn still reminded his workers to work hard every day."
91,emi requires all of its employees to make their own arrangements for their business trips.
92,the number of flood victims temporarily residing in the government-supplied camps has just exceeded a thousand.
93,"before obtaining a license , applicants are required to complete 40 hours of driving with an adult over 21."
94,my application was to be reviewed primarily because i attended the company's summer internship course.
95,all the temporary workers are supposed to keep track of the hours that they work.
96,ms. hong was forced to resign as ceo of the company quickly since investors weren't pleased with her recent performance.
97,all the employees at sei corporation are invited to the meeting on the new internal communications system that the company is about to bring in.
98,"although the marketing department submitted the initial proposal, it has been edited many times since then."
99,the president has just realized that the launch of our new product must be postponed owing to unfavorable conditions in the market.
100,"the contract indicates that if your car breaks down on the road, you can get immediate roadside service within one hour."
101,"the general manager made it clear before the meeting that employees can ask questions immediately after the meeting, but they must remain quiet throughout the meeting."
102,ms. kempbell runs a company that builds studios in both professional music agencies and people's houses.
103,"although jack was concerned that his coworker would be very nervous on his first day of work, he was in fact quite confident, which surprised jack."
104,the ceo addressed the future of the company so passionately throughout the conference that he didn't even realize that he was losing his voice.
105,job interviewers generally evaluate the applicants' working abilities rather than their personalities .
106,"as much as the korean economy has developed - tremendously in a short period of time, there are still many problems that our nation is facing."
107,the manager's speech on hard work was not effective because he is not considered a hard worker to the audience.
108,the new novel by steven kim will be published no later than the 18th of november according to a reliable source.
109,"as we have had workers who quit after working for a short period of time, we need someone who can work consistently for at least a year."
110,"while jason found the proposal from the other company attractive , he ultimately turned it down to keep the relationship with his original partner company."
111,maverick manufacturers has maintained the highest safety standards of any company in its industry.
112,peter had to work during my vacation because the matter was so urgent - that it couldn't wait for my return.
113,it is very difficult for the head of a company to fully understand the different characteristics of each employee.
114,most workers agree that extending the number of work hours is not going to increase the company's revenue because it actually results in lower work efficiency.
115,"although the company had a tight budget, they invested more money in their new product because they believed it was beneficial in the long run."
116,"although jackson inc. invests a large amount of money in advertising, its competitor, james inc. doesn't invest as much in it."
117,"due to the contractual obligation , the company had to keep supplying the raw material for a cheap price even though there has been a rise in the overall market price."
118,"because the head executive of yib inc. checks every single condition on contracts meticulously -, he never makes a mistake when signing the final copy."
119,"we have been working on updates for the program, and you should receive the updated information in january ."
120,frank truner who was interviewed on friday will be assigned to either the research department or the marketing department.
121,the author's comments are considered her own and are not necessarily reflective of the view of the magazine publisher.
122,all equipment in the gym is checked regularly to ensure that it is safe to use.
123,the calgary inn attaches importance to the cleanliness of its rooms and always offers good service at reasonable prices.
124,"the management course will be offered on monday, october 17, from 9 a.m. to 4 p.m., while the law course will be taught on tuesday, october 18, from 9 a.m. to 4p.m."
125,"giessen is centrally located in germany and can easily be reached by plane, train, and car."
126,"to cut down on electricity wastage, we use energy-saving light bulbs and remind employees to turn off their computers when they leave the office."
127,"our online service allows you to view your information, make address changes, review account history, and request documents."
128,it is important that managers draw in the best sales people to sell the products.
129,"eli clare, whose latest book was published by local home press, is nominated for the  lambda literary award."
130,holders of old-style civ tickets are required to show their tickets to a staff member before boarding the train.
131,office supplies are ordered through the central purchasing department and are typically delivered the next business day.
132,"if students are unable to arrive by the date specified on their visa documents, they will be sent home and will have to restart the application process."
133,barbuda's economy remains overwhelmingly dependent on tourism and on visitors who fly to the islands from all over the world.
134,we encourage frequent customer visits during all phases of the project to facilitate communication and to ensure that the project goals are being attained successfully.
135,"because storage space is limited, please notify benjamin hatton if you no longer need your locker."
136,our employees can receive free admission to the joslyn art museum as well as discounts to the museum's gift shop.
137,"considering her ability, dedication, and expertise, i am confident that ms. yoko will be the most suitable person for the position of marketing manager."
138,the advisory committee effectively addressed the president's concerns about the new building project.
139,"nicholas sarkozy, president of the organization, is hosting an event on may 4, to mark the 90th anniversary of the founding of the red cross."
140,"temporary and part-time employees are not eligible for paid holidays; if they work on a holiday, such employees will receive their regular wages."
141,the department of parks and recreation has outsourced the maintenance of public restroom facilities to advance management inc.
142,"although mr. broadwater was the most qualified of all the applicants for the position, the job was given to another."
143,"in keeping with company policy, protective clothing must be worn at all times during your visit to our plant."
144,"due to growing seasonal demand, the store owner decided to hire five additional sales clerks."
145,"with more than 34 years of designing some of the most impressive buildings in calgary, the reputation of the firm is well deserved."
146,"should an unexpected delay in shipping occur, we will notify you by email of the new projected shipping date and provide you with an opportunity to keep your order or cancel it."
147,"in celebration of national volunteer appreciation day, betsy johnson regional hospital will host a luncheon honoring its  hospital volunteers tomorrow."
148,"established two decades ago with the vision of providing cost-effective office equipment, we are today one of the world's leading manufacturers in the field."
149,"once the application is complete, our office staff can check your application to ensure everything is filled in completely and all documents are included."
150,"in order to process a refund or exchange, you must notify us within two weeks of receiving your shipment."
151,one of our service department staff would be glad to assist you with the maintenance of your vehicle.
152,"there are two distinct business units within glocell, each focusing on different customers and their needs."
153,manufacturers who make products available to the public are held responsible for the injuries their products cause.
154,the tiph employees are identifiable by their distinctive khaki uniforms and the special emblem on their uniforms and vehicles.
155,britax's new infant car seat offers a host of comfort and safety features designed to keep your child secure while traveling in the car.
156,anyone applying for the position of marketing director is asked to submit a resume along with two letters of reference.
157,the enclosed coupons will entitle the bearer to a ten percent discount on any of our products.
158,"ideal safes & solutions, with its seven years of experience, provides reliable and durable safes and cabinets."
159,"after jonathan revised the proposal for the project more than five times with his colleague, he finally handed it over to his boss."
160,"since carol, my boss, was not satisfied with my work, she fired me and gave me one month's notice."
161,the company's ceremony only took an hour and a half because they skipped the boring opening speech and some unnecessary  formalities.
162,"in the past two years, the number of car accidents has gone up by 15%."
163,"due to heavy traffic, john has to wake up early every morning in order to make it to work on time."
164,max complained to his boss that it's been 10 years since the office has been renovated and it needs some changes in order to promote a better work environment.
165,"although peter hurried up and called kevin to tell him that the meeting was canceled, kevin was already waiting for the representatives from the partner company."
166,bws corporation's employees were advised to attend the training session because only those who completed the session would be considered for the promotion.
167,"when you invest your money, you have to choose either to invest in high-risk opportunities or low-risk ones."
168,peter was glad when he received a text message from the hospital reminding him of his appointment on thursday because he almost forgot about it.
169,jane could not apply for the job she desperately wanted because it required a high level of english.
170,"jason attempted to utilize some new equipment at the factory, but he had trouble figuring out even where its start button was."
171,"because the store was centrally located, it had a huge advantage in exposing its goods to the public, which had an impact on its increase in sales."
172,"the company announced that it would merge with tyrell incorporated, but it said the opposite only two days later."
173,justin's packaging company occasionally receives returned products because the new machine that they purchased has been creating problems for the past couple of months.
174,"while kim was waiting for the delivery of the product that she ordered a month ago, she realized that what she ordered was actually not the one that the company needed."
175,"according to the interviewer, the position requires a high familiarity with marketing theory."
176,jason's colleagues were jealous of him because his boss helped him with the work so much that he nearly had nothing to do but handed in the completed work.
177,"although people often believe that coffee has too much caffeine, in reality, it's relatively low in caffeine compared to some energy drinks such as redbull, monster and rockstar."
178,carl thought that the conference was very informative and actually learned a lot more than he'd learned at university.
179,it is necessary for superiors to give a fair evaluation of their workers because it has a huge impact on their future career.
180,"because jack had served the company as the general manager for more than 20 years, there was not one employee who didn't know him."
181,"for the first three months, tim's boss couldn't find any flaws in him, but he realized that tim actually has a very hot temper when he got into an argument with his co-worker."
182,"although the company aimed for a greater number of sales by lowering the price of their products, it faced a huge loss in revenue because they couldn't reach their expected number of sales."
183,"a professional soccer player, jinsu became so competitive in the game that he ended up earning himself a yellow card for his actions."
184,kate was hoping that harry would correct his mistakes on the proposal before submitting it after she told him which mistakes she had found while going over it.
185,the factory wasn't able to produce as many products as it was supposed to because the supplier couldn't deliver the raw materials on time.
186,"because the head of the company was obsessed with the company's profits from the previous year, he couldn't focus on its profits for the current year."
187,"in order to promote the purchase of its new products, the company spent a great deal on advertising."
188,"noticing that the stock value was continually decreasing, the biggest shareholder sold all of his stocks for a reasonably low price."
189,"with the strong visual effects of the presentation, the general manager sounded very persuasive in his meeting held with the partner company."
190,"because of the sudden death of the ceo, the company's stock value dropped dramatically and didn't recover for several years."
191,there are still immense job opportunities in the unites states because there are many small businesses around the country.
192,"although some customers claimed that the company's customer service providers are impolite, hisl corporation totally ignored the claims."
193,"as a result of working for 14 hours continually, i was able to create an array of products in different colors."
194,"hib investment bank, whose shareholders were passionate about getting a new ceo, has been going through some chaotic changes recently."
195,the head of the department has specified that all employees are required to hand in their vacation plans before the end of the month.
196,jim once again made the same mistake by misspelling the names of the people who were supposed to attend the conference.
197,the president seemed very upset when the interviewer asked him a very sensitive question about his family history.
198,"when the acid indicator turned red, tony realized that he should not touch it without any protection on his hands."
199,dr. braun will write recommendation letters only for interns who master every task expected of a junior copy editor.
200,the appointment of a new chief financial officer at veracore industries was announced on april 6.
201,"after a six-month probationary period, city employees are eligible to take vacation days."
202,ms. larensky is applying with several different agencies to obtain the permits required for the outdoor art event.
203,this letter serves as confirmation that we have received and processed your credit-card cancellation request.
204,"many people at the company have industry experience, but only a handful of us can see the future importance of current trends."
205,the new furniture for the conference room is scheduled to be delivered early on tuesday.
206,"after working in canada for ten years, cha joon has returned to seoul to plan the opening of an upscale restaurant."
207,toucan database system is designed to perform a detailed financial analysis automatically
208,the city council approved the bill to increase funding for its road improvement project
209,the neighborhood involvement program honors residents who volunteer their time to help egin city.
210,several architects proposed intriguing design plans for the hadler building's addition.
211,the updated training program is limited to site supervisors within the casey medical care system.
212,mr. koizumi must complete the cost estimate before he leaves for the conference.
213,"although the new x printer is similar to other models, it costs only half as much."
214,"to address budget deficits, lunere county plans to limit spending and promote tourism."
215,operating instructions are posted above the printer so you can easily refer to them.
216,"the vickwell historical museum will be closed for renovations beginning on monday, september 10."
217,finley plant nursery implements the very latest agricultural techniques.
218,"according to the compensation guidelines, employees who regularly complete their work before it is due may receive bonuses."
219,thank you for your participation in the foxdale apartments community enhancement survey.
220,solar energy has become a key factor in the development of additional energy resources throughout the region.
221,the lpn auto company has issued a special report to address concerns regarding the fuel efficiency of its vehicles.
222,this year's company retreat will focus on techniques that help people think more creatively
223,employees must submit requests for time off to ms. cheung for approval.
224,board members are free to discuss the issues among themselves before the formal votes are taken.
225,"judging by ticket sales, fen jiang's first attempt at directing a film was clearly a success."
226,"while the nolan credit union parking area is now open to the public, a section has been reserved for credit union employees."
227,pharmacy technicians are responsible for verifying and processing prescriptions as soon as they are requested by a physician.
228,all laboratory personnel must attend the clinical safety workshop to ensure compliance with new regulations.
229,the travel documents will be processed as soon as they are received.
230,"to change your seating assignment, visit the reservations page on our web site."
231,"the president of somchai bank rides his bicycle to work every day, except when it rains."
232,agents who have not yet registered for next week's insurance excellence forum must do so immediately .
233,matos realty has developed two different methods of identifying undervalued properties.
234,wearing lab coats and safety goggles is a requirement for all laboratory workers.
235,the manufacturer recommends that the filter be cleaned at least once a month for optimal performance.
236,"before selecting a dagle steel door, measure the door opening carefully ."
237,okpara employees should contact their supervisors by 10:00 a.m. if they expect to miss a day of work.
238,the director has requested a comparison of the costs of short and long-term rental agreements.
239,ms. yi of lakesview catering says that five trays of appetizers are more than enough for fifty guests.
240,canada's pan rail corporation will no longer transporting freight into the united states.
241,"according to experts, flash maxe dishwashing detergent consistently delivers exceptionally results."
242,"when picking up identification badges, employees need to show proof of employment at ekmekci associates."
243,roxy koenig is actively seeking a new venue for her summer concert since the hazelton music hall is being renovated.
244,prospective tenants must provide at least two references along with their application.
245,"while ms. molinsky has little experience in technical support, her knowledge of computer systems is extensive ."
246,"please refer to the attached flowchart, which describes the division of responsibilities among the various leadership positions."
247,a good project manager strives to enhance communication between departments whenever possible.
248,"same-day appointments can usually be scheduled, although not necessarily with your usual doctor."
249,mr. vieira is credited with introducing several changes that have helped stacatti stationery increase business.
250,"in the photograph, president tang can be seen standing opposite dr. dervishi."
251,the new location of the bentler company is easily accessible by car or bus.
252,arise in energy prices will mostly affect businesses whose energy consumption is high.
253,city officials have assured harmon avenue businesses that street repairs will be completed within 48 hours.
254,"our department would have attended the policy meeting last monday, but we had a scheduling conflict."
255,"given the effectiveness of maisey stanton's leadership on the town council, she will likely win next week's mayoral election."
256,barner corporation's record profits resulted from the recent initiative to identify operating efficiencies.
257,customers still tend to place short notices in the classified section even though there is no longer a mandated word limit.
258,all shelves in the holiday merchandise section need to remain fully stocked.
259,access to the exercise room is included with your stay at the bay land hotel.
260,mr. okello's promotion means that he will supervise a larger team.
261,"juniper worldwide, inc., will be changing payroll service providers on january 1."
262,the valletta visitor centre offers da ly boat rides along the city's historic waterfront
263,ultrora action's t-pro tennis shoe is the lightest one on the market right now
264,"duram biscuit corp, is able to negotiate good deals with its wholesale suppliers."
265,"at razani marketing, there are many opportunities for professional advancement."
266,parking on dahakno street will be prohibited for the next few days because of emergency repairs to water lines
267,accountants applying for the training must obtain a referral from their supervisor
268,the evaluation report will be completed only after the auditors inspect the laboratory.
269,"in light of our recent expansion, it will be necessary to hire another administrative assistant by june 1."
270,"due to low registration, the communications workshop scheduled for july 2 will be postponed until further notice."
271,the initial response to the beta version of the software allows us to be fairly optimistic about future product sales.
272,orvale school's business mentors are retired executives with a wealth of expertise across a wide range of industries.
273,thank you for your interest in our updated line of compact refrigerators.
274,the judges may begin to review the entries now that the deadline for submitting slogans has passed.
275,"on his daily radio show, trade biz, antonio kosior analyzes business news from all over the globe."
276,the purchase of the new lagos reporter will not lead to changes in editorial staff.
277,professor reginald layke's proposal for an additional course in business management was approved in a surprisingly short time.
278,carideli science museum trustees are expected to be aware of all the museum's operations.
279,"with the completion of its airport, honokai island's tourism economy has improved dramatically."
280,brock's bistro has requested that we specify the number of dinner guests by monday.
281,"doi textiles, inc., is well-known throughout the fashion world as being a trendsetter for young women's clothing."
282,{d) solicitation  a reception will be held to introduce the newly appointed director of marketing to the employees of kaulana industries.
283,"to fill two vacant positions on its benefits committee, adidion labs is seeking employees who are ready for a challenge."
284,the software for tracking orders has been markedly successful as it has greatly decreased time spent on the task.
285,"lately the community sports program has had a surplus of volunteers, most of whom are students."
286,please use the attached survey to let us know how enjoyable your recent stay at the copper mine inn was.
287,sales clerks at sylla bazaar receive additional pay when they work in the evening.
288,the use of high-quality yet inexpensive machine parts led to a decrease in costs for mr. kim's factory.
289,"because humidity can damage wood, the climate in furniture storage units must be controlled."
290,the updated safety manual includes guidelines for the entire factory.
291,a limited amount of time for questions will be granted following mr. tanaka's speech.
292,"at correia electronics, we are continually researching appliance technology."
293,"at imprint eyewear, most prescription eyeglasses can be made within two business days."
294,the first prize presented was the kozar award for excellence in educational toy design.
295,"ms. ling is not here today, but she typically attends every library board meeting."
296,investing in as many -- properties as possible can be risky but is often lucrative
297,"after interviewing ms. garcia personally, the company president finalized the committee's decision to hire her as chief financial officer."
298,construction of the yukimura building has been postponed because of modifications in the architectural plans.
299,please inform ms. montgomery of any adjustments to your office supplies order before 2:00 p.m.
300,all buehler energy customers are encouraged to sign up for electronic statements instead of paper ones.
301,"in her letter of reference, ms. eisner indicates that mr. patel's ability to work well with others is his most admirable quality."
302,"this friday, all employees may depart two hours before closing unless their manager requires them to stay."
303,the science career fair is an exciting opportunity for job seekers to meet with recruiters from major companies in the field.
304,the songs on sophia vestra's new album are among the most innovative musical arrangements of her career.
305,the research indicates that tourism in chestnut valley has remained stable over the past two years.
306,"online orders are handled by mr. clark's team, while regular mail orders are overseen by ms. adauto's group."
307,"after the suggested upgrades have been implemented, the production process should run more efficiently."
308,"panjan air, an airline based in singapore, is offering budget flights to bangkok and jakarta."
309,"mesmio, provider of premium television content, welcomes specific ideas for improving our service."
310,the conclusions from our analysis turned out to be directly applicable to the budget problem.
311,the proposal to transform the vacant land on spring street into a community garden will be voted on this monday.
312,"after quality control inspectors certify that all specifications are met, the product can be shipped."
313,the vast meadowlands surrounding the museum are designated as wildlife habitat.
314,each one of mitesh sandu's international performances was filmed for the documentary.
315,new tax incentives reward local businesses that decrease their water consumption.
316,"based on new data, min-soo trucking's proposal to expand its business to southeast asia would be only marginally successful."
317,mr. ashburton has been highly recommended by all three of his references.
318,mr. choi wants to know when the illustrations will be ready for his review.
319,the project meeting has been rescheduled for tomorrow because of the bad weather.
320,smooth tek's newest software makes it much easier for business owners to create newsletters.
321,"by opening offices in london, paris, and madrid, sedgehill ltd. has continued its growth into markets overseas."
322,"lf the kiln's heat is set too high, the ceramic objects inside may be ruined"
323,the national overview is the fourth most widely distributed newspaper in the northeastern region.
324,"dr. lin, the keynote speaker at this years southeast dentistry convention, invented several groundbreaking dental devices."
325,rose s bistro will close next month due to escalating operating expenses .
326,"during yesterday's meeting, ms. milne offered her congratulations to the sales team for their excellent results this quarter."
327,the employee satisfaction survey results are likely to differ among departments.
328,the course taught by prof. brennink is intended for those interested in medical or health-related careers.
329,"starting september 1, the accounting department will issue travel reimbursements separately from biweekly paychecks."
330,the planned construction of several new office buildings in newbury has created a sizable demand for skilled workers.
331,the new computer security program allows users to monitor any suspicious activity on their account.
332,the expansion of the kawagoe factory has had a significant impact on inagi technology employees' productivity.
333,please review the repair estimate carefully as soon as it has been received from the maintenance department.
334,responsibilities of the marketing assistant include coordinating focus groups and writing detailed reports.
335,the product development team for herbeve cosmetics is considering a package redesign to try to increase sales.
336,"because of an increase in small, individual furnaces, glassblowing has become a more accessible and popular art medium."
337,our investment in solar energy was a key factor in achieving energy independence.
338,payments made to your account after the invoice was generated are not reflected in the balance shown.
339,see our media kit for facts and information regarding our line of lighting equipment.
340,the lawyers report that the merger was successfully concluded thanks to last-minute negotiations.
341,mr. hong will outline the procedures for handling customers' confidential information.
342,"last year, the fromley company established an internship program for trade school students studying electrical technology."
343,"seldom in the news, the honorable cynthia rengle is now making headlines with her proposal to drastically reduce local taxes"
344,"despite being the audience's least favorite film at the star film festival, lost dog nevertheless won the critics' award for best animation."
345,we found the staffplex payroll management system to be the only one extensive for our needs.
346,ms. mills has correctly predicted that sales would increase productively as the company's radio advertisement continues to air.
347,"the newspaper editor, mr. lim has invited a distinguished architect to write about his famous buildings."
348,all employees are required to attend both the morning and the afternoon sessions of the training workshop on friday.
349,"this course provides students with the tools for thinking about ways to enhance collaboration among races, ethnic groups and social classes."
350,the new employee orientation will be held in one of the training facility classrooms and it will begin promptly at 8:00 a.m.
351,employees who wish to participate in the fsa program must submit their completed paperwork to the human resources department by dec. 16.
352,ups guarantees the delivery of your important shipments from the u.s. to more than  international cities.
353,old magazines and important papers are stored on the top shelf in labeled files.
354,"the sharp hotel has decided to offer a free shuttle service to the beach every day from 8 a.m. to 9 p.m., leaving every hour."
355,the committee recommended developing more systematic procedures for the management of employee performance evaluations.
356,it will be necessary to develop an updated employee manual incorporating the many changes that have occurred over the past twelve years.
357,"in preparation for the christmas shopping season, the local fire department has started inspecting malls and other business establishments in the busan area."
358,mr. lim could solve the problem with the sonya  software easily after reading the enclosed manual.
359,"when you initiate conversations with your new employees, greet them personally to make them feel comfortable and listen with interest."
360,infosys technologies ltd. has instituted an annual award of $5 million for korean scientists who have achieved excellence in promoting research in biotechnology.
361,"during the meeting, agenda items are discussed by the board of directors and minutes are taken by the secretary."
362,please forward the message from the advertising agency in busan to mrs. hwang's office directly.
363,the automobile industry is becoming increasingly reliant on computers to improve efficiency and reduce costs.
364,an increasingly large number of our customers prefer the payment convenience of debit cards.
365,"ms. kennedy was given the responsibility for managing the downtown building project, which was overseen by the board of directors."
366,"recommendations for the prize will be considered by the committee, but are not necessarily required to receive it."
367,"when renting a car, it is important to take time to inspect the car thoroughly and document any damage including minor scratches."
368,ms. jespersen is pleased to accept your invitation to become a member of the washington community reinvestment association.
369,the family and medical leave act requires employers to grant employees up to 12 weeks of unpaid leave a year for family medical emergencies.
370,"since pension benefits may be a major source of your retirement income, you should carefully consider the following options before making your decision."
371,the marketing team members are supposed to be on time for tomorrow's advertising planning meeting.
372,"because the number of staff registering for the seminar was inaccurately estimated, mr. kim had to book a larger meeting room."
373,"before agreeing to the terms of use, please know that membership is not free, but, we do offer many different membership rates."
374,we are planning to launch the new product throughout the country as soon as a reliable distributor and a wholesale dealer are found.
375,"the north east is one of the best regions in which to start a new business, according to business and enterprise north east statistics."
376,"the affordable land prices, good drainage and excellent soil conditions have been conducive to the high agricultural output of our region."
377,"while the supervisor is responsible for preventing injuries, each worker must be attentive to their personal safety, in addition to the safety of their coworkers."
378,pioneer steel guarantees that all information gathered through this website is strictly confidential and used only by pioneer steel.
379,"no matter how busy they are, all workers at the factory are encouraged to take short breaks every 50 minutes."
380,"the pockets are a bit different than the ones pictured in the catalog, as the zipper is on the side of the pocket, not in the center of the pocket."
381,it is important to arrive at the airport 45 to 90 minutes ahead of your scheduled departure time.
382,korean information technology firms are cautiously predicting an economic upturn in the fourth quarter despite concerns over a strong won and surging oil prices.
