,row_id,timestamp,user_id,content_id,content_type_id,task_container_id,user_answer,answered_correctly,prior_question_elapsed_time,prior_question_had_explanation,count
37504090,37504090,7562510573,801103753,1475,0,3891,3,1,25000.0,True,17917
37504107,37504107,7563427215,801103753,2024,0,3897,1,1,28333.0,True,17917
37504121,37504121,7564487104,801103753,1525,0,3901,0,1,32333.0,True,17917
37504120,37504120,7564487104,801103753,1523,0,3901,0,1,32333.0,True,17917
37504119,37504119,7564487104,801103753,1524,0,3901,3,1,32333.0,True,17917
37504118,37504118,7564222711,801103753,1962,0,3900,3,0,27333.0,True,17917
37504117,37504117,7564222711,801103753,1961,0,3900,1,1,27333.0,True,17917
37504116,37504116,7564222711,801103753,1963,0,3900,3,1,27333.0,True,17917
37504115,37504115,7563821268,801103753,2542,0,3899,1,1,25666.0,True,17917
37504114,37504114,7563821268,801103753,2543,0,3899,1,1,25666.0,True,17917
37504113,37504113,7563821268,801103753,2544,0,3899,0,1,25666.0,True,17917
37504112,37504112,7563547239,801103753,1910,0,3898,2,1,21666.0,True,17917
37504111,37504111,7563547239,801103753,1911,0,3898,3,1,21666.0,True,17917
37504110,37504110,7563547239,801103753,1912,0,3898,3,1,21666.0,True,17917
37504109,37504109,7563427215,801103753,2026,0,3897,2,1,28333.0,True,17917
37504108,37504108,7563427215,801103753,2025,0,3897,3,1,28333.0,True,17917
37504106,37504106,7563266866,801103753,1733,0,3896,3,0,25666.0,True,17917
37504091,37504091,7562510573,801103753,1477,0,3891,1,1,25000.0,True,17917
37504105,37504105,7563266866,801103753,1734,0,3896,1,1,25666.0,True,17917
37504104,37504104,7563266866,801103753,1735,0,3896,2,0,25666.0,True,17917
37504103,37504103,7563136672,801103753,1727,0,3895,1,1,28333.0,True,17917
37504102,37504102,7563136672,801103753,1728,0,3895,0,1,28333.0,True,17917
37504101,37504101,7563136672,801103753,1729,0,3895,3,1,28333.0,True,17917
37504100,37504100,7562983676,801103753,1573,0,3894,3,1,30000.0,True,17917
37504099,37504099,7562983676,801103753,1571,0,3894,3,1,30000.0,True,17917
37504098,37504098,7562983676,801103753,1572,0,3894,2,1,30000.0,True,17917
37504097,37504097,7562799104,801103753,2322,0,3893,2,1,25333.0,True,17917
37504096,37504096,7562799104,801103753,2321,0,3893,1,0,25333.0,True,17917
37504095,37504095,7562799104,801103753,2320,0,3893,0,1,25333.0,True,17917
37504094,37504094,7562652657,801103753,1820,0,3892,1,1,35000.0,True,17917
37504093,37504093,7562652657,801103753,1821,0,3892,2,1,35000.0,True,17917
37504092,37504092,7562652657,801103753,1822,0,3892,3,1,35000.0,True,17917
37504056,37504056,7557795165,801103753,1656,0,3878,3,1,55000.0,True,17917
37504055,37504055,7557795165,801103753,1655,0,3878,3,1,55000.0,True,17917
37504054,37504054,7557675856,801103753,1405,0,3877,3,1,27666.0,True,17917
37504004,37504004,7405973934,801103753,2473,0,3852,1,1,40000.0,True,17917
37504018,37504018,7457456470,801103753,668,0,3858,0,0,15000.0,True,17917
37504017,37504017,7457423281,801103753,506,0,3863,3,1,16000.0,True,17917
37504016,37504016,7457390247,801103753,434,0,3862,0,1,13000.0,True,17917
37504015,37504015,7457348814,801103753,1054,0,3861,1,1,16000.0,True,17917
37504014,37504014,7457321568,801103753,1239,0,3860,0,1,10000.0,True,17917
37504013,37504013,7457299715,801103753,1157,0,3859,1,1,17000.0,True,17917
37504012,37504012,7457266702,801103753,506,0,3857,0,0,16000.0,True,17917
37504011,37504011,7457218627,801103753,307,0,3856,1,1,20000.0,True,17917
37504010,37504010,7457170956,801103753,651,0,3855,3,1,22666.0,True,17917
37504009,37504009,7406125005,801103753,2298,0,3853,0,0,22000.0,True,17917
37504008,37504008,7406125005,801103753,2297,0,3853,0,1,22000.0,True,17917
37504007,37504007,7406125005,801103753,2296,0,3853,1,0,22000.0,True,17917
37504006,37504006,7405973934,801103753,2475,0,3852,2,1,40000.0,True,17917
37504005,37504005,7405973934,801103753,2474,0,3852,2,1,40000.0,True,17917
37504003,37504003,7405808579,801103753,2016,0,3851,2,0,28000.0,True,17917
37504020,37504020,7457539381,801103753,434,0,3866,0,1,16000.0,True,17917
37504002,37504002,7405808579,801103753,2017,0,3851,1,0,28000.0,True,17917
37504001,37504001,7405808579,801103753,2015,0,3851,2,0,28000.0,True,17917
37504000,37504000,7405592687,801103753,2463,0,3850,0,1,36666.0,True,17917
37503999,37503999,7405592687,801103753,2462,0,3850,0,0,36666.0,True,17917
37503998,37503998,7405592687,801103753,2461,0,3850,3,1,36666.0,True,17917
37503997,37503997,7405415427,801103753,2205,0,3849,0,0,35333.0,True,17917
37503996,37503996,7405415427,801103753,2204,0,3849,3,0,35333.0,True,17917
37503995,37503995,7405415427,801103753,2203,0,3849,2,1,35333.0,True,17917
37503994,37503994,7405217494,801103753,2374,0,3848,2,1,40333.0,True,17917
37503993,37503993,7405217494,801103753,2376,0,3848,3,0,40333.0,True,17917
37503992,37503992,7405217494,801103753,2375,0,3848,0,1,40333.0,True,17917
37503991,37503991,7404984504,801103753,2548,0,3847,3,1,32333.0,True,17917
37503990,37503990,7404984504,801103753,2549,0,3847,1,1,32333.0,True,17917
37503989,37503989,7404984504,801103753,2550,0,3847,1,1,32333.0,True,17917
37504019,37504019,7457503855,801103753,1249,0,3865,0,1,17000.0,True,17917
37504021,37504021,7527480534,801103753,668,0,3867,3,1,17000.0,True,17917
37504053,37504053,7557675856,801103753,1404,0,3877,1,0,27666.0,True,17917
37504038,37504038,7550232425,801103753,2471,0,3872,0,1,21666.0,True,17917
37504052,37504052,7557675856,801103753,1403,0,3877,1,1,27666.0,True,17917
37504051,37504051,7554861174,801103753,2089,0,3876,1,1,21333.0,True,17917
37504050,37504050,7554861174,801103753,2088,0,3876,1,0,21333.0,True,17917
37504049,37504049,7554861174,801103753,2087,0,3876,3,1,21333.0,True,17917
37504048,37504048,7550764990,801103753,2475,0,3875,2,1,40333.0,True,17917
37504047,37504047,7550764990,801103753,2474,0,3875,2,1,40333.0,True,17917
37504046,37504046,7550764990,801103753,2473,0,3875,1,1,40333.0,True,17917
37504045,37504045,7550688765,801103753,1555,0,3874,1,1,58000.0,True,17917
37504044,37504044,7550688765,801103753,1554,0,3874,2,1,58000.0,True,17917
37504043,37504043,7550688765,801103753,1553,0,3874,0,1,58000.0,True,17917
37504042,37504042,7550492566,801103753,2026,0,3873,2,1,27000.0,True,17917
37504041,37504041,7550492566,801103753,2024,0,3873,0,0,27000.0,True,17917
37504040,37504040,7550492566,801103753,2025,0,3873,2,0,27000.0,True,17917
37504039,37504039,7550232425,801103753,2472,0,3872,0,1,21666.0,True,17917
37504037,37504037,7550232425,801103753,2470,0,3872,3,1,21666.0,True,17917
37504022,37504022,7549511896,801103753,1912,0,3854,3,1,18000.0,True,17917
37504036,37504036,7550087499,801103753,1669,0,3871,1,1,32666.0,True,17917
37504035,37504035,7550087499,801103753,1668,0,3871,3,1,32666.0,True,17917
37504034,37504034,7550087499,801103753,1667,0,3871,1,1,32666.0,True,17917
37504033,37504033,7549961390,801103753,1790,0,3870,3,0,33333.0,True,17917
37504032,37504032,7549961390,801103753,1791,0,3870,3,1,33333.0,True,17917
37504031,37504031,7549961390,801103753,1792,0,3870,1,1,33333.0,True,17917
37504030,37504030,7549805827,801103753,1536,0,3869,0,1,26000.0,True,17917
37504029,37504029,7549805827,801103753,1537,0,3869,0,1,26000.0,True,17917
37504028,37504028,7549805827,801103753,1535,0,3869,3,1,26000.0,True,17917
37504027,37504027,7549657114,801103753,2014,0,3868,0,1,46666.0,True,17917
37504026,37504026,7549657114,801103753,2012,0,3868,3,1,46666.0,True,17917
37504025,37504025,7549657114,801103753,2013,0,3868,1,1,46666.0,True,17917
37504024,37504024,7549511896,801103753,1911,0,3854,3,1,18000.0,True,17917
37504023,37504023,7549511896,801103753,1910,0,3854,1,0,18000.0,True,17917
37504122,37504122,7564605905,801103753,1778,0,3902,1,1,27666.0,True,17917
37504123,37504123,7564605905,801103753,1779,0,3902,0,1,27666.0,True,17917
37504124,37504124,7564605905,801103753,1780,0,3902,1,1,27666.0,True,17917
37504209,37504209,7575901617,801103753,1915,0,3942,0,1,27000.0,True,17917
37504223,37504223,7576348299,801103753,2983,0,3947,0,1,6000.0,True,17917
37504222,37504222,7576223878,801103753,1534,0,3946,0,1,2666.0,True,17917
37504221,37504221,7576223878,801103753,1533,0,3946,2,1,2666.0,True,17917
37504220,37504220,7576223878,801103753,1532,0,3946,1,1,2666.0,True,17917
37504219,37504219,7576172464,801103753,1913,0,3945,3,1,23000.0,True,17917
37504218,37504218,7576172464,801103753,1915,0,3945,0,1,23000.0,True,17917
37504217,37504217,7576172464,801103753,1914,0,3945,1,1,23000.0,True,17917
37504216,37504216,7576066570,801103753,1534,0,3944,0,1,11000.0,True,17917
37504215,37504215,7576066570,801103753,1532,0,3944,1,1,11000.0,True,17917
37504214,37504214,7576066570,801103753,1533,0,3944,2,1,11000.0,True,17917
37504213,37504213,7575946578,801103753,1755,0,3943,1,1,34333.0,True,17917
37504212,37504212,7575946578,801103753,1756,0,3943,3,1,34333.0,True,17917
37504211,37504211,7575946578,801103753,1754,0,3943,0,1,34333.0,True,17917
37504210,37504210,7575901617,801103753,1913,0,3942,3,1,27000.0,True,17917
37504208,37504208,7575901617,801103753,1914,0,3942,1,1,27000.0,True,17917
37504225,37504225,7576348299,801103753,2984,0,3947,3,1,6000.0,True,17917
37504207,37504207,7575782558,801103753,7385,1,3941,-1,-1,,False,17917
37504206,37504206,7575399533,801103753,1759,0,3940,0,1,27000.0,True,17917
37504205,37504205,7575399533,801103753,1758,0,3940,3,0,27000.0,True,17917
37504204,37504204,7575399533,801103753,1757,0,3940,2,1,27000.0,True,17917
37504203,37504203,7575240278,801103753,1756,0,3939,3,1,27000.0,True,17917
37504202,37504202,7575240278,801103753,1754,0,3939,0,1,27000.0,True,17917
37504201,37504201,7575240278,801103753,1755,0,3939,1,1,27000.0,True,17917
37504200,37504200,7575119097,801103753,1534,0,3938,1,0,30333.0,True,17917
37504199,37504199,7575119097,801103753,1532,0,3938,1,1,30333.0,True,17917
37504198,37504198,7575119097,801103753,1533,0,3938,2,1,30333.0,True,17917
37504197,37504197,7574969387,801103753,2249,0,3937,0,0,21666.0,True,17917
37504196,37504196,7574969387,801103753,2248,0,3937,1,1,21666.0,True,17917
37504195,37504195,7574969387,801103753,2250,0,3937,3,1,21666.0,True,17917
37504194,37504194,7574839553,801103753,2191,0,3936,0,1,51000.0,True,17917
37504224,37504224,7576348299,801103753,2982,0,3947,3,1,6000.0,True,17917
37504226,37504226,7576658156,801103753,3124,0,3948,1,0,21666.0,True,17917
37504192,37504192,7574839553,801103753,2192,0,3936,3,1,51000.0,True,17917
37504243,37504243,7580491153,801103753,10121,0,3953,3,0,33000.0,True,17917
37504257,37504257,7583059105,801103753,3522,0,3958,1,1,19333.0,True,17917
37504256,37504256,7583059105,801103753,3524,0,3958,3,1,19333.0,True,17917
37504255,37504255,7582850948,801103753,2981,0,3957,3,0,21333.0,True,17917
37504254,37504254,7582850948,801103753,2980,0,3957,0,1,21333.0,True,17917
37504253,37504253,7582850948,801103753,2979,0,3957,1,1,21333.0,True,17917
37504252,37504252,7582377660,801103753,2778,0,3956,1,1,25333.0,True,17917
37504251,37504251,7582377660,801103753,2777,0,3956,1,1,25333.0,True,17917
37504250,37504250,7582377660,801103753,2776,0,3956,1,1,25333.0,True,17917
37504249,37504249,7581851232,801103753,1757,0,3955,2,1,23000.0,True,17917
37504248,37504248,7581851232,801103753,1758,0,3955,3,0,23000.0,True,17917
37504247,37504247,7581851232,801103753,1759,0,3955,0,1,23000.0,True,17917
37504246,37504246,7581675037,801103753,2479,0,3954,1,0,40666.0,True,17917
37504245,37504245,7581675037,801103753,2480,0,3954,3,1,40666.0,True,17917
37504244,37504244,7581675037,801103753,2481,0,3954,3,0,40666.0,True,17917
37504242,37504242,7580491153,801103753,10123,0,3953,0,1,33000.0,True,17917
37504227,37504227,7576658156,801103753,3125,0,3948,0,0,21666.0,True,17917
37504241,37504241,7580491153,801103753,10122,0,3953,1,1,33000.0,True,17917
37504240,37504240,7578343722,801103753,10724,0,3952,1,1,25666.0,True,17917
37504239,37504239,7578343722,801103753,10723,0,3952,2,1,25666.0,True,17917
37504238,37504238,7578343722,801103753,10722,0,3952,3,1,25666.0,True,17917
37504237,37504237,7577234373,801103753,3404,0,3951,1,0,25666.0,True,17917
37504236,37504236,7577234373,801103753,3403,0,3951,2,0,25666.0,True,17917
37504235,37504235,7577234373,801103753,3402,0,3951,0,1,25666.0,True,17917
37504234,37504234,7577067805,801103753,10118,0,3950,2,0,33666.0,True,17917
37504233,37504233,7577067805,801103753,10119,0,3950,2,1,33666.0,True,17917
37504232,37504232,7577067805,801103753,10120,0,3950,0,1,33666.0,True,17917
37504231,37504231,7576943137,801103753,10736,0,3949,1,1,41000.0,True,17917
37504230,37504230,7576943137,801103753,10735,0,3949,3,0,41000.0,True,17917
37504229,37504229,7576943137,801103753,10734,0,3949,3,1,41000.0,True,17917
37504228,37504228,7576658156,801103753,3123,0,3948,1,1,21666.0,True,17917
37504193,37504193,7574839553,801103753,2193,0,3936,1,1,51000.0,True,17917
37504191,37504191,7570510002,801103753,5206,0,3935,2,0,40000.0,True,17917
37504125,37504125,7564759503,801103753,1984,0,3903,2,1,31000.0,True,17917
37504141,37504141,7566052306,801103753,1853,0,3908,3,1,23333.0,True,17917
37504155,37504155,7567123151,801103753,1742,0,3913,0,1,35000.0,True,17917
37504154,37504154,7566801922,801103753,2499,0,3912,1,0,31666.0,True,17917
37504153,37504153,7566801922,801103753,2498,0,3912,3,1,31666.0,True,17917
37504152,37504152,7566801922,801103753,2497,0,3912,3,1,31666.0,True,17917
37504151,37504151,7566511695,801103753,1754,0,3911,0,1,27000.0,True,17917
37504150,37504150,7566511695,801103753,1755,0,3911,2,0,27000.0,True,17917
37504149,37504149,7566511695,801103753,1756,0,3911,3,1,27000.0,True,17917
37504148,37504148,7566328713,801103753,2372,0,3910,2,1,22000.0,True,17917
37504147,37504147,7566328713,801103753,2371,0,3910,1,0,22000.0,True,17917
37504146,37504146,7566328713,801103753,2373,0,3910,1,0,22000.0,True,17917
37504145,37504145,7566147447,801103753,2082,0,3909,0,1,23000.0,True,17917
37504144,37504144,7566147447,801103753,2083,0,3909,3,1,23000.0,True,17917
37504143,37504143,7566147447,801103753,2081,0,3909,2,1,23000.0,True,17917
37504142,37504142,7566052306,801103753,1854,0,3908,1,1,23333.0,True,17917
37504140,37504140,7566052306,801103753,1855,0,3908,2,1,23333.0,True,17917
37504157,37504157,7567123151,801103753,1744,0,3913,3,1,35000.0,True,17917
37504139,37504139,7565926866,801103753,1840,0,3907,2,1,21000.0,True,17917
37504138,37504138,7565926866,801103753,1839,0,3907,0,1,21000.0,True,17917
37504137,37504137,7565926866,801103753,1838,0,3907,0,1,21000.0,True,17917
37504136,37504136,7565818468,801103753,2328,0,3906,3,1,45333.0,True,17917
37504135,37504135,7565818468,801103753,2326,0,3906,0,1,45333.0,True,17917
37504134,37504134,7565818468,801103753,2327,0,3906,1,1,45333.0,True,17917
37504133,37504133,7565391774,801103753,1478,0,3905,2,1,30333.0,True,17917
37504132,37504132,7565391774,801103753,1480,0,3905,0,1,30333.0,True,17917
37504131,37504131,7565391774,801103753,1479,0,3905,0,1,30333.0,True,17917
37504130,37504130,7564891489,801103753,1741,0,3904,2,1,33666.0,True,17917
37504129,37504129,7564891489,801103753,1740,0,3904,1,1,33666.0,True,17917
37504128,37504128,7564891489,801103753,1739,0,3904,1,1,33666.0,True,17917
37504127,37504127,7564759503,801103753,1982,0,3903,2,1,31000.0,True,17917
37504126,37504126,7564759503,801103753,1983,0,3903,1,1,31000.0,True,17917
37504156,37504156,7567123151,801103753,1743,0,3913,1,0,35000.0,True,17917
37504158,37504158,7567313584,801103753,2191,0,3914,1,0,28000.0,True,17917
37504190,37504190,7570323628,801103753,3788,0,3929,1,0,32000.0,True,17917
37504175,37504175,7569138129,801103753,7350,0,3920,2,1,59500.0,True,17917
37504189,37504189,7570201803,801103753,4650,0,3934,3,1,70000.0,True,17917
37504188,37504188,7570115656,801103753,4620,0,3933,3,0,36000.0,True,17917
37504187,37504187,7570008370,801103753,4087,0,3932,2,1,10000.0,True,17917
37504186,37504186,7569965992,801103753,4093,0,3931,3,1,45000.0,True,17917
37504185,37504185,7569948087,801103753,4612,0,3930,2,1,16000.0,True,17917
37504184,37504184,7569867695,801103753,4093,0,3928,1,0,31000.0,True,17917
37504183,37504183,7569798736,801103753,5651,0,3927,2,0,14000.0,True,17917
37504182,37504182,7569736248,801103753,9947,0,3926,1,1,23000.0,True,17917
37504181,37504181,7569715132,801103753,4319,0,3925,0,1,48000.0,True,17917
37504180,37504180,7569650576,801103753,6131,0,3924,2,0,79000.0,True,17917
37504179,37504179,7569443079,801103753,5175,0,3923,0,0,39000.0,True,17917
37504178,37504178,7569227764,801103753,8777,0,3922,0,1,10000.0,True,17917
37504177,37504177,7569173226,801103753,5852,0,3921,1,1,65000.0,True,17917
37504176,37504176,7569138129,801103753,7351,0,3920,3,1,59500.0,True,17917
37504174,37504174,7568969063,801103753,7051,0,3919,2,0,61000.0,True,17917
37504159,37504159,7567313584,801103753,2193,0,3914,1,1,28000.0,True,17917
37504173,37504173,7568969063,801103753,7050,0,3919,2,1,61000.0,True,17917
37504172,37504172,7568717498,801103753,7513,0,3918,0,1,66333.0,True,17917
37504171,37504171,7568717498,801103753,7515,0,3918,1,1,66333.0,True,17917
37504170,37504170,7568717498,801103753,7514,0,3918,0,1,66333.0,True,17917
37504169,37504169,7568342450,801103753,7316,0,3917,0,1,76500.0,True,17917
37504168,37504168,7568342450,801103753,7315,0,3917,0,0,76500.0,True,17917
37504167,37504167,7568342450,801103753,7317,0,3917,0,1,76500.0,True,17917
37504166,37504166,7568130073,801103753,7354,0,3916,3,1,69750.0,True,17917
37504165,37504165,7568130073,801103753,7355,0,3916,2,1,69750.0,True,17917
37504164,37504164,7567797328,801103753,7614,0,3915,3,0,27666.0,True,17917
37504163,37504163,7567797328,801103753,7613,0,3915,2,0,27666.0,True,17917
37504162,37504162,7567797328,801103753,7611,0,3915,0,1,27666.0,True,17917
37504161,37504161,7567797328,801103753,7612,0,3915,2,1,27666.0,True,17917
37504160,37504160,7567313584,801103753,2192,0,3914,2,0,28000.0,True,17917
37503988,37503988,7404712654,801103753,2122,0,3846,3,1,24666.0,True,17917
37503987,37503987,7404712654,801103753,2120,0,3846,2,1,24666.0,True,17917
37503986,37503986,7404712654,801103753,2121,0,3846,1,0,24666.0,True,17917
37503800,37503800,7232092498,801103753,7110,0,3739,0,1,50400.0,True,17917
37503814,37503814,7233097243,801103753,7531,0,3742,3,1,67500.0,True,17917
37503813,37503813,7233097243,801103753,7530,0,3742,0,1,67500.0,True,17917
37503812,37503812,7233097243,801103753,7529,0,3742,2,1,67500.0,True,17917
37503811,37503811,7233097243,801103753,7528,0,3742,3,1,67500.0,True,17917
37503810,37503810,7232737463,801103753,7602,0,3741,2,1,70333.0,True,17917
37503809,37503809,7232737463,801103753,7601,0,3741,0,0,70333.0,True,17917
37503808,37503808,7232737463,801103753,7600,0,3741,1,0,70333.0,True,17917
37503807,37503807,7232737463,801103753,7599,0,3741,0,0,70333.0,True,17917
37503806,37503806,7232347764,801103753,7187,0,3740,0,1,66000.0,True,17917
37503805,37503805,7232347764,801103753,7189,0,3740,1,0,66000.0,True,17917
37503804,37503804,7232347764,801103753,7188,0,3740,1,0,66000.0,True,17917
37503803,37503803,7232092498,801103753,7109,0,3739,2,1,50400.0,True,17917
37503802,37503802,7232092498,801103753,7112,0,3739,3,1,50400.0,True,17917
37503801,37503801,7232092498,801103753,7111,0,3739,2,1,50400.0,True,17917
37503799,37503799,7231794649,801103753,6994,0,3738,0,1,26000.0,True,17917
37503816,37503816,7246602593,801103753,3781,0,3744,3,1,13000.0,True,17917
37503798,37503798,7231794649,801103753,6993,0,3738,2,0,26000.0,True,17917
37503797,37503797,7231794649,801103753,6992,0,3738,3,1,26000.0,True,17917
37503796,37503796,7231794649,801103753,6995,0,3738,2,1,26000.0,True,17917
37503795,37503795,7231794649,801103753,6991,0,3738,3,0,26000.0,True,17917
37503794,37503794,7231246015,801103753,411,0,3737,0,0,16000.0,True,17917
37503793,37503793,7231168778,801103753,757,0,3736,3,1,19000.0,True,17917
37503792,37503792,7231137157,801103753,418,0,3735,1,1,16000.0,True,17917
37503791,37503791,7231066903,801103753,585,0,3713,0,1,16000.0,True,17917
37503790,37503790,7230998736,801103753,1291,0,3734,3,1,17000.0,True,17917
37503789,37503789,7230973450,801103753,999,0,3733,3,1,13000.0,True,17917
37503788,37503788,7230945946,801103753,1367,0,3732,0,1,18000.0,True,17917
37503787,37503787,7230902809,801103753,421,0,3731,1,0,9000.0,True,17917
37503786,37503786,7230855823,801103753,679,0,3726,1,1,19000.0,True,17917
37503785,37503785,7216295962,801103753,405,0,3730,1,1,13000.0,True,17917
37503815,37503815,7246564221,801103753,5404,0,3708,1,1,68250.0,True,17917
37503817,37503817,7246661627,801103753,5976,0,3745,2,1,28000.0,True,17917
37503783,37503783,7198394054,801103753,775,0,3728,0,1,21000.0,True,17917
37503834,37503834,7277505465,801103753,4221,0,3752,1,0,33000.0,True,17917
37503848,37503848,7279154808,801103753,7320,0,3760,2,1,72750.0,True,17917
37503847,37503847,7278933511,801103753,7201,0,3759,3,1,77000.0,True,17917
37503846,37503846,7278933511,801103753,7202,0,3759,3,1,77000.0,True,17917
37503845,37503845,7278933511,801103753,7203,0,3759,0,1,77000.0,True,17917
37503844,37503844,7278933511,801103753,7200,0,3759,1,1,77000.0,True,17917
37503843,37503843,7278618505,801103753,7835,0,3758,0,1,34000.0,True,17917
37503842,37503842,7278618505,801103753,7834,0,3758,1,0,34000.0,True,17917
37503841,37503841,7278618505,801103753,7833,0,3758,0,1,34000.0,True,17917
37503840,37503840,7278618505,801103753,7832,0,3758,0,1,34000.0,True,17917
37503839,37503839,7277710702,801103753,3962,0,3757,0,1,24000.0,True,17917
37503838,37503838,7277666418,801103753,5654,0,3756,1,1,7000.0,True,17917
37503837,37503837,7277636575,801103753,4221,0,3755,2,1,17000.0,True,17917
37503836,37503836,7277622863,801103753,6671,0,3754,0,1,35000.0,True,17917
37503835,37503835,7277598796,801103753,3884,0,3753,2,1,74000.0,True,17917
37503833,37503833,7277272771,801103753,3784,0,3751,3,1,54000.0,True,17917
37503818,37503818,7246738502,801103753,2302,0,3743,0,1,38000.0,True,17917
37503832,37503832,7262479554,801103753,6671,0,3747,3,0,44000.0,False,17917
37503831,37503831,7252730512,801103753,2230,0,3750,0,1,25333.0,True,17917
37503830,37503830,7252730512,801103753,2232,0,3750,3,1,25333.0,True,17917
37503829,37503829,7252730512,801103753,2231,0,3750,1,1,25333.0,True,17917
37503828,37503828,7252590864,801103753,1564,0,3749,1,1,40333.0,True,17917
37503827,37503827,7252590864,801103753,1563,0,3749,1,1,40333.0,True,17917
37503826,37503826,7252590864,801103753,1562,0,3749,0,1,40333.0,True,17917
37503825,37503825,7252312890,801103753,1652,0,3748,0,1,29000.0,True,17917
37503824,37503824,7252312890,801103753,1654,0,3748,2,1,29000.0,True,17917
37503823,37503823,7252312890,801103753,1653,0,3748,2,0,29000.0,True,17917
37503822,37503822,7247698534,801103753,11392,0,3706,2,1,45000.0,True,17917
37503821,37503821,7246812306,801103753,5039,0,3746,0,0,33000.0,True,17917
37503820,37503820,7246738502,801103753,2304,0,3743,2,1,38000.0,True,17917
37503819,37503819,7246738502,801103753,2303,0,3743,3,1,38000.0,True,17917
37503784,37503784,7198421882,801103753,311,0,3729,3,1,17000.0,True,17917
37503782,37503782,7198351706,801103753,560,0,3727,0,1,17000.0,True,17917
37503850,37503850,7279154808,801103753,7318,0,3760,0,1,72750.0,True,17917
37503732,37503732,6941926337,801103753,7167,0,3685,3,1,69000.0,True,17917
37503746,37503746,7057981285,801103753,8766,0,3694,1,1,72000.0,True,17917
37503745,37503745,6964765480,801103753,6333,0,3693,2,1,26000.0,True,17917
37503744,37503744,6964443934,801103753,5592,0,3692,3,0,16000.0,True,17917
37503743,37503743,6964308021,801103753,5954,0,3691,0,1,75000.0,True,17917
37503742,37503742,6964193468,801103753,8445,0,3690,2,1,32000.0,True,17917
37503741,37503741,6963959888,801103753,6340,0,3689,2,0,16000.0,True,17917
37503740,37503740,6963834287,801103753,3845,0,3688,3,1,53000.0,True,17917
37503739,37503739,6953010516,801103753,7559,0,3687,1,1,71750.0,True,17917
37503738,37503738,6953010516,801103753,7560,0,3687,0,0,71750.0,True,17917
37503737,37503737,6942221638,801103753,7608,0,3686,2,1,53000.0,True,17917
37503736,37503736,6942221638,801103753,7607,0,3686,2,1,53000.0,True,17917
37503735,37503735,6942221638,801103753,7609,0,3686,1,1,53000.0,True,17917
37503734,37503734,6942221638,801103753,7610,0,3686,1,1,53000.0,True,17917
