,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
bioluminescence,(반딧불이 등의) 생물[생체] 발광,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nq,(스코틀랜드에서 15~18세 사이에 치르는) 국가자격시험(National Qualification),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fat,"뚱뚱한, 살찐, 비만인",두툼한; 넓은,(양액수가) 많은,"(사람동물의 몸에 축적된) 지방, 비계",(요리용 동식물성) 기름,(식품 속의) 지방,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
relieve,"(불쾌감·고통 등을) 없애[덜어] 주다, 안도하게[후련하게] 하다",(문제의 심각성을) 완화하다[줄이다],지루함[단조로움]을 줄이다,(근무자와) 교대하다,(적군으로부터 도시 등을) 구출하다,볼일을 보다(화장실에 가는 것을 정중하게 나타냄),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landowner,"(특히 많은 땅을 가진) 토지 소유자, 지주",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
attach,"붙이다, 첨부하다","(~에) 중요성, 의미, 가치, 무게 등을 두다",(달가워하지 않는 사람에게) 들러붙다,"연관되다; 연관짓다, 부여하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
modification,(개선을 위한) 수정[변경],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
octavia,여자 이름,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raining,"비, 빗물","우기(雨期), 장마철",(비처럼 많이) 쏟아지는 것,비가 오다,(비처럼) 쏟아지다[쏟아 붓다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
health,(몸·마음의) 건강,건강(한 상태),"보건, 의료",건강[건전]성,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penicillin,페니실린,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bottle,병,한 병 (가득한 양),술,(아기) 우유병; (우유병으로 먹이는) 우유,"용기, 자신감",병에 담다,(과일채소 등을) 병조림하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interact,(특히 작업 중에) 소통하다[교류하다],상호 작용을 하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
continued,지속적인,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allow,(무엇을 하도록) 허락하다; 용납하다,(무엇을 가지도록) 허락[허용]하다,들어오게[지나가게] 하다[허용하다],가능하게 하다,(특정한 목적을 위해 계산하여) 잡다[정하다],"인정하다, 받아들이다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fortunately,"다행스럽게도, 운 좋게도",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
march,"행진[행군]하다, 행군하듯 걷다",(단호한 태도로 급히) 걸어가다,(걷도록 강요해서) 데려 가다,(시위 행위로) 가두 행진하다,"(시위를 위한) 가두 행진, 가두 시위","행군, 행진",꾸준히 진행[발달]하는 ~,행진곡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
milky,우유로 만든; 우유가 든,"우유 같은, 희부연",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us,(동사·전치사의 목적어로 또는 be 동사 뒤에 쓰여) 우리[우리를/우리에게],"나를, 나에게",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
virus,바이러스,바이러스성 질환,(컴퓨터) 바이러스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cover,(감추거나 보호하기 위해) 씌우다[가리다],덮다,(액체먼지 등으로 한 꺼풀) 바르다[뒤덮다],다루다; 포함시키다,(무엇을 하기에 충분한 돈을[이]) 대다[되다],(언급된 거리를) 가다[이동하다],(언급된 지역에) 걸치다,(텔레비전신문 등을 위해) 취재[방송/보도]하다,(자리를 비운 사람의 일을) 대신하다,(~를 위해) 적당히 둘러대다,(분실상해 등에 대비해 보험으로) 보장하다,(~으로부터) 스스로를 보호[방어]할 조치를 취하다,(공격 중에) 엄호하다,"총으로 봉쇄하다, 총을 겨누다",(다른 밴드나 가수의 곡을) 리메이크해 싣다,"덮개, 커버",(좋지 않은 날씨나 공격으로부터) 몸을 숨길 곳,(책이나 잡지의) 표지,(보험의) 보장,엄호,(어떤 지역에서 자라는) 초목,(하늘에 구름이 또는 땅에 눈이) 덮임[깔림],(침대) 커버[이불],,"위장, 속임수",(다른 사람의 업무) 대행,,,,,,,,,,,,,
lifestyle,생활 방식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geospatial,(데이터 따위가) 특정 지역과 관련된.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effect,"영향; 결과, 효과",(화가·작가 등이 만들어 내는) 느낌[인상],소지품,(어떤 결과를) 가져오다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
america,"아메리카 ((전후 관계로 다음의 어느 하나를 뜻함)) (1) 미합중국, 미국(the United States of America, the United States, the US(A), the States) [NOTE/] 미국인 스스로는 보통 the United States라고 함. (2) 북아메리카(North America) (3) 남아메리카(South America) (4) [the ~s] 남·북·중앙 아메리카, 미주(美洲)(North, South, and Central America) ((미대륙 전체))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biochemist,생화학자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
success,성공; 성과,"성공한 사람[것], 성공작",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
record,(글 등으로 남긴) 기록,"음반, 레코드",(특히 스포츠에서 최고최저 성적결과를 나타내는) 기록,"(과거의 행동공적 등을 보여주는) 기록, 경력, 전력",전과(前科),(글영화컴퓨터 등으로) 기록하다,(테이프디스크에) 녹음[녹화]하다,(음반을 만들기 위해) 녹음하다,(공식 석상이나 법정에서 기록될 내용을) 진술하다[밝히다],(계기가 특정 수치양을) 보여주다[기록하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fourteen,"14, 열넷",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
accident,(특히 자동차) 사고[재해],우연,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hybrid,(동식물의) 잡종,"혼성체, 혼합물",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evacuate,(위험 지역에서 사람들을) 대피[소개(疏開)]시키다,"(위험한 장소를) 떠나다, 피난하다","(위나 장을) 비우다, 대소변을 보다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unfavorable,"&lt;보고·비평 등이&gt; 호의적이 아닌, 비판적인","형편이 나쁜, 불운한, 불리한, 역(逆)의, 알맞지[적합하지]않은 ((for, to))","상서롭지 못한, 불길한",&lt;무역이&gt; 수입 초과의,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
enclose,(담·울타리 등으로) 두르다[둘러싸다],에워[둘러]싸다,동봉하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tenure,(특히 정계 요직의) 재임 기간; 재임,(특히 대학 교수의) 종신 재직권,(주택·토지의) 거주권[사용권],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adequate,(특정한 목적이나 필요에) 충분한[적절한],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glut,과잉,과잉 공급하다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
admit,(무엇이 사실임을 마지못해) 인정[시인]하다,(범행·잘못 등을) 자백하다[인정하다],"들어가게 하다, 입장을 허락하다","(단체·학교 등에서) 받아들이다, 가입[입학]을 허락하다",(병원·시설 등에) 입원시키다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brightness,"빛남, 밝음; 광휘; 휘도",선명함,"현명, 총명",쾌활,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border,국경[경계] (지역),(사진옷감 등의) 가두리[가장자리],(꽃을 심어 놓은) 잔디밭 둘레,(국경경계를) 접하다,가장자리를 이루다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
restaurant,"식당, 레스토랑",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
costly,많은 돈[비용]이 드는,대가[희생]가 큰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
country,"국가, 나라",(특정한 특징이 있는) 지역[고장],(전) 국민; 국가 (전체),"시골, 전원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amazing,(감탄스럽도록) 놀라운,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
winter,겨울,(어디에서) 겨울을 나다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
critically,비평[비판]적으로; 혹평하여,"아슬아슬하게, 위태롭게",임계적으로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
remediation,"복원, 교정",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
verify,(진실인지·정확한지) 확인하다,"입증하다, (진실이라고·정확하다고) 확인해[말해] 주다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
illustrate,(책 등에) 삽화[도해]를 쓰다[넣다]; (설명을 위해 실례·도해 등을) 이용하다,(실례·도해 등을 이용하여) 분명히 보여주다,"실증하다, 실지로 보여주다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kansas,"캔자스 ((미국 중부의 주; 주도 Topeka; 속칭 the Sunflower State; 略 Kans., Kan.))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
unit,구성 단위,(상품의) 한 개[단위],(특정 임무를 위한) 부대[단체],(특히 병원의) 부서[과],(계량) 단위,(특히 찬장·장식장 같은 가구·설비) 세트,(작은) 기구[장치],(교재의) 단원,(아파트 같은 공동 주택 내의) 한 가구,(0에서 9까지의) 단 단위 정수,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prove,입증[증명]하다,(…임이) 드러나다[판명되다],(자기 역량을) 입증해 보이다,(자신이 ~임을) 보여주다,(반죽이 이스트의 효과로) 부풀다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
team,(스포츠 경기 등에서) 팀[단체],(일을 함께 하는) 팀[조(組)],&lt;마차 등을 함께 끄는 여러 마리의 동물&gt;,팀을 짜다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stipulation,"조항, 조건","[UC] 약정, 계약; 규정, 명문화",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
talented,(타고난) 재능[재주]이 있는,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moment,"잠깐, 잠시",(정확한 시점을 나타내는) 순간,(특정한) 때[시기],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
protracted,(예상·평상시보다) 오래 끈[오래 계속된],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evaluate,(양·가치·품질 등을) 평가하다[감정하다],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
entertain,(특히 집에서 손님을) 접대하다,즐겁게 해 주다,(생각·희망·감정 등을) 품다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
publicize,"(일반 사람들에게) 알리다, 광고[홍보]하다",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
